11799 - Aagaard, Mikkel
10490 - de la Rose, Jacob
8885 - De Leo, Chase
9846 - De Sousa, Daniel
11897 - De Wit, Jeff
9220 - Dea, Jean-Sebastien
11898 - Dea, Patrick
9093 - DeAngelo, Anthony
12359 - DeBlois, Derek
11899 - DeBrincat, Alex
10735 - Debrusk, Jake
11331 - Deckert, Jesse
12460 - Defarias, Josh
9306 - DeFazio, Brandon
7433 - Dehner, Jeremy
5186 - Deilert, Alexander
4627 - Dej, Rastislav
10354 - DeKeyser, Danny
10965 - Dekoning, Daniel
11900 - Del Paggio, Daniel
379 - Del Zotto, Michael
7048 - Delisle, Steven
10979 - Delisle-Houde, Alexandre
8575 - Dell, Aaron
6277 - Della Rovere, Stefan
6882 - Delmas, Peter
10080 - DeLuca, Anthony
3205 - Dembski, Janusz
12786 - Demel, Patrik
6473 - DeMelo, Dylan
5343 - Demers, Jason
10380 - Demkov, Artem
9083 - Dempsey, Mitchell
12468 - Demuy, Patrice
11006 - Denis, Bruno-Carl
2170 - Denisov, Vladimir
10881 - Dermott, Travis
2908 - Derner, Lukas
5540 - Déruns, Thomas
9903 - Desautels, Mathieu
1753 - Desbiens, Guillaume
9581 - Desbiens, Simon
9656 - Deschamps, Jonathan
6948 - Deschamps, Nicolas
8846 - Descheneau, Jaedon
10803 - Deschênes, Luc
11746 - Descloux, Gauthier
4461 - Desharnais, David
5644 - Desjardins, Andrew
2500 - Desjardins, Cedrick
6894 - Desjardins, Gabriel
11901 - Desjardins, Olivier
1936 - Deslauriers, Jeff
7053 - Deslauriers, Nicolas
9651 - Deslauriers, Vincent
7087 - Despres, Simon
10896 - Desrocher, Stephen
9960 - Desrochers, Danny
9584 - Desrosiers, Philippe
11323 - Detsch, Hans
6611 - Devane, Jamie
7703 - Devlin, Brandon
11757 - Deyl, Radek
11902 - Dhillon, Stephen
11903 - Di Carlo, Alex
12303 - Di Giuseppe, Phil
3209 - Di Nicola, Maurizio
9244 - Diaby, Jonathan
10605 - Diamond, Joe
5663 - Diaz, Raphael
11904 - Dickerson, Marcus
9009 - Dickinson, Jason
11905 - DiCristofaro, Daniel
6854 - DiDomenico, Christopher
10278 - Diem, Nolan
7652 - Dietz, Darren
11755 - Dietz, Stanislav
12514 - Dieude-Fauvel, Benjamin
9891 - DiFruscia, Anthony
10840 - Digiacinto, Cristiano
6172 - Dillon, Brenden
3212 - Dinger, Derek
12482 - Dion, Yan
9094 - DiPaolo, Mike
9864 - DiPerna, Dylan
10888 - DiTomaso, Greg
2892 - Divis, Richard
9828 - Dixon, Kolton
1937 - Dixon, Stephen
10463 - Djuse, Emil
11447 - Dlapa, Ondrej
2441 - Dmitriev, Alexej
11906 - Dmytriw, Jared
220 - Doan, Shane
11451 - Docekal, Martin
6423 - Dodero, Charlie
8906 - Doetzel, Kayle
9868 - Doggett, Slater
6402 - Doherty, Taylor
11514 - Dolejs, Daniel
11907 - Dolgushkin, Danil
9035 - Domi, Max
11908 - Domingue, Kevin
7001 - Domingue, Louis
10090 - Donaghey, Cody
11909 - Donald, Marshall
7775 - Donnay, Troy
11910 - Donnelly, Adam
9260 - Donovan, Matt
4563 - Donskoi, Joonas
2525 - Dorsett, Derek
11911 - Dorval, Zack
10764 - Dosanjh, Shaun
10973 - Dostie, Alex
9066 - Dotchin, Jake
7664 - Doty, Jacob
7233 - Dotzler, Alexander
11371 - Douay, Floran
11796 - Doucet, Justin
12401 - Doudera, Lukas
7786 - Doudera, Milan
4452 - Doughty, Drew
11043 - Dove-McFalls, Samuel
12323 - Dowd, Nic
2269 - Dowell, Jake
11912 - Dower, Lee
6200 - Dowling, Justin
5567 - Down, Blaine
2226 - Downie, Steve
10152 - Downing, Jack
9753 - Draisaitl, Leon
11061 - Draude, Terrell
2195 - Dravecky, Vladimir
2216 - Drazenovic, Nick
5273 - Drewiske, Davis
7682 - Driedger, Chris
2412 - Driendl, Andreas
10043 - Drouin, Jonathan
4630 - Drtina, Jiri
7286 - Drtina, Marek
3222 - Dshunussow, Daniar
5543 - Du Bois, Félicien
2961 - Duba, Tomas
11913 - Dube, Dillon
8078 - Dubeau, Alex
2024 - Dubinsky, Brandon
2038 - Dubnyk, Devan
11914 - Dubois, Pierre-Luc
5688 - Duca, Paolo
371 - Duchene, Matt
11915 - Duchesne, Chad
9902 - Duchesne, Jonathan
9204 - Duclair, Anthony
5322 - Duco, Mike
1626 - Duda, Radek
12668 - Dufner, Mauro
11023 - Dufort-Plante, Antoine
11916 - Dugan, Bobby
11449 - Dujsik, Tomas
9714 - Duke, Reid
7633 - Dumba, Matt
6848 - Dumont, Gabriel
9125 - Dumulong, Nicolas
10632 - Dunda, Liam
9095 - Dundas, Justice
10891 - Dunn, Vince
9238 - Dunn, Vincent
10534 - Dünner, Nico
11082 - Duperreault, Ben
11372 - Dupertuis, Joey
3224 - DuPont, Micki
3225 - Duponte, Morgan
234 - Dupuis, Pascal
1999 - Dupuis, Philippe
9965 - Dupuis, Taylor
9019 - Dupuy, Jean
2919 - Dusek, Antonin
12473 - Dutra, Aaron
12400 - Dvoracek, David
11165 - Dvorak, Christian
12762 - Dvorák, Filip
11425 - Dvorak, Tomas
1744 - Dwyer, Patrick
12299 - Dzingel, Ryan
3227 - Dziuk, Bogdan
6140 - Dziurzynski, Darian
8387 - Dziurzynski, David
1151 - Eager, Ben
6208 - Eakin, Cody
11155 - Eansor, Scott
1839 - Earl, Robbie
1146 - Eaves, Patrick
1852 - Ebbett, Andrew
6107 - Eberle, Jordan
8875 - Eberle, Tanner
7865 - Ebert, Nick
10226 - Ebner, Bernhard
5268 - Eckford, Tyler
14567 - Eddy, David
11104 - Eder, Andreas
1342 - Edler, Alexander
10795 - Edmonds, Ty
7595 - Edmundson, Joel
12727 - Edström, Elias
30940 - Edwards, Anthony
12754 - Edwards, Maury
10276 - Ehlers, Nikolaj
8577 - Ehliz, Yasin
5480 - Ehrensperger, Gianni
650 - Ehrhardt, Travis
241 - Ehrhoff, Christian
11623 - Eidstedt, Axel
11729 - Eisenhut, Marco
11102 - Eisenschmid, Markus
12706 - Ejdsel, Victor
10655 - Ekarv, Victor
8976 - Ekblad, Aaron
541 - Ekbom, Viktor
7373 - Ekholm, Mattias
2532 - Eklund, Oscar
7503 - Ekman-Larsson, Oliver
11917 - Elder, Kaden
243 - Elias, Patrik
9880 - Elie, Remi
3232 - Eliuk, Andy
659 - Elkins, Corey
158 - Eller, Lars
11095 - Eller, Mads
2081 - Elliott, Brian
30957 - Elliott, Nick
6149 - Elliott, Stefan
244 - Ellis, Dan
1369 - Ellis, Matt
6791 - Ellis, Morgan
6735 - Ellis, Ryan
9434 - Elorinne, Aleksi
7203 - El-Sayed, Marc
8531 - Elsner, David
6084 - Elson, Turner
12619 - Elvenes, Ludvig
10726 - Elynuik, Hudson
9401 - Emanuelsson, Petter
4667 - Emelin, Alexei
246 - Emery, Ray
247 - Eminger, Steve
10386 - Eminger, Vladimir
3235 - Emmer, Luciano
5635 - Emmerson, Riley
3237 - Endras, Dennis
1873 - Engelland, Deryk
11613 - Englund, Andreas
114 - Engstrand, Christian
711 - Ennis, Tyler
1534 - Enroth, Jhonas
2552 - Enström, Thomas
3238 - Enstrom, Toby
8373 - Enterfeldt, Sebastian
248 - Erat, Martin
1513 - Ericsson, Jimmie
3239 - Ericsson, Jonathan
12705 - Eriksson Ek, Joel
8623 - Eriksson, Anders
8576 - Eriksson, Fredrik
12756 - Eriksson, Henrik
5187 - Eriksson, Henrik
12726 - Eriksson, Jesper
3242 - Eriksson, Loui
2564 - Erixon, Sebastian
593 - Erixon, Tim
8855 - Erkamps, Macoy
2634 - Erkinjuntti, Antti
9205 - Erne, Adam
8711 - Erni, Samuel
12700 - Eronen, Elmeri
7554 - Erricson, Jari
1470 - Ersberg, Erik
250 - Erskine, John
11206 - Escobedo, Sean
12806 - Eskelinen, Toni
12660 - Espeland, Stefan
10691 - Estephan, Giorgio
9206 - Etchegary, Kurt
5971 - Etem, Emerson
2008 - Evans, Brennan
9626 - Everberg, Dennis
5780 - Ewanyk, Travis
7710 - Ezekiel, Norm
9859 - Fabbri, Robby
10233 - Faber, Maximilian
3251 - Fabricius, Karl
8920 - Fafard, Devan
9326 - Fagerudd, Marcus
9707 - Faith, Tanner
9026 - Faksa, Radek
11608 - Falk, Alexander
1471 - Falk, Andreas
5256 - Falk, Justin
9175 - Falkenham, Ryan
10583 - Fällström, Alexander
8692 - Falter, Martin
7385 - Fälth, Elias
4493 - Fanjoy, Ben
7499 - Fantenberg, Oscar
12328 - Faragher, Ryan
10565 - Farnham, Bobby
8642 - Farrell, Kyle
7498 - Fast, Jesper
7400 - Fasth, Viktor
8739 - Faulk, Justin
7257 - Fauser, Gerrit
12298 - Faust, Joe
8458 - Fayne, Mark
11918 - Fazio, Justin
11117 - Fazleev, Radel
10292 - Fazzini, Luca
3257 - Fediuk, Mike
260 - Fedotenko, Ruslan
3258 - Fedotov, Uriy
1221 - Fehr, Eric
11919 - Felhaber, Tye
11920 - Fellows, Patrick
3263 - Feodorov, Yermukhamet
261 - Ference, Andrew
11921 - Fergus, T.J.
5133 - Ferland, Michael
11922 - Ferletak, Kristian
12337 - Ferlin, Brian
3265 - Fernholm, Daniel
9395 - Fernström, Linus
6087 - Ferraro, Landon
407 - Ferriero, Benn
1316 - Feser, Scott
2234 - Festerling, Brett
5408 - Festerling, Garrett
775 - Fey, Kevin
11923 - Fiala, Evan
11622 - Fiala, Kevin
3267 - Ficenec, Jakub
267 - Fiddler, Vernon
11924 - Field, Sam
7564 - Fienhage, Corey
5185 - Figren, Robin
11307 - Filin, Vladislav
3269 - Filipiak, Robert
3270 - Filppula, Ilari
1223 - Filppula, Valtteri
7839 - Findlay, Brett
3272 - Fini, Giampaolo
8400 - Finley, Joe
7746 - Finn, Matt
11034 - Fiore, Giovanni
11925 - Fiori, Giancarlo
9629 - Fischbuch, Daniel
2312 - Fischer, Christopher
10523 - Fischer, David
5657 - Fischer, Jannik
5492 - Fischer, Simon
11926 - Fischer, Zach
9829 - Fisher, Logan
271 - Fisher, Mike
1778 - Fistric, Mark
11927 - Fitzgerald, Cavan
11928 - Fitzgerald, Joshua
9020 - Fitzmorris, Mitchell
11929 - Fitzpatrick, Evan
2450 - Flaake, Jerome
11930 - Flaman, Jack
1160 - Fleischmann, Tomas
11402 - Fleming, Scott
6477 - Flemming, Brett
10648 - Fleschler, Joe
11931 - Fleury, Cale
9327 - Fleury, Damien
9769 - Fleury, Haydn
275 - Fleury, Marc-Andre
6471 - Flick, Rob
3275 - Flinck, Markku
9649 - Flinn, Jack
11932 - Flodell, Logan
7482 - Flückiger, Michael
5573 - Flüeler, Lukas
12835 - Flynn, Brian
31080 - Flynn, Jonathan
9609 - Fogström, Niklas
6709 - Foligno, Marcus
2080 - Foligno, Nick
11571 - Folin, Christian
11081 - Folk, Carter
12651 - Follestad Johansen, Erik
11508 - Foltyn, Michael
11933 - Fontaine, Gabriel
9272 - Fontaine, Justin
10723 - Fonteyne, Matt
11934 - Fora, Michael
10579 - Forbort, Derek
8403 - Ford, Matthew
2493 - Ford, Scott
11935 - Ford, Taylor
9512 - Forman, Miroslav
12488 - Forrest, Brad
8898 - Forsberg, Alex
8611 - Forsberg, Anton
10668 - Forsberg, Christoffer
10350 - Forsberg, Filip
1676 - Forsberg, Henrik
606 - Forsberg, Johan
555 - Forsberg, Kristian
11697 - Forsling, Gustav
2558 - Forssell, Erik
3278 - Forster, Beat
9527 - Fort, Tomas
12294 - Fortier, Maxime
10430 - Fortier, Simon
11936 - Fortin, Alexandre
1789 - Fortunus, Maxime
10826 - Foss, Ryan
10432 - Foster, Adrian
8797 - Foster, Brian
283 - Foster, Kurtis
9820 - Foster, Thomas
9423 - Fotinos, Alex
5149 - Foucault, Kris
9686 - Foulk, Griffin
7932 - Fournier, Dillon
7030 - Fournier, Gleason
11937 - Fournier, Jordan Ty
6919 - Fournier, Stefan
6738 - Fowler, Cam
6435 - Fox, Dane
3281 - Fox, Danny
11938 - Fox, Trent
8930 - Fram, Jason
12464 - Francis, Elijah
5925 - Francouz, Pavel
12487 - Franklin, Zane
2203 - Franson, Cody
11939 - Franzen, Gustaf
1124 - Franzen, Johan
12742 - Franzreb, Maximilian
1388 - Fraser, Colin
7867 - Fraser, Jérémie
31115 - Fraser, Kyle
1386 - Fraser, Mark
5867 - Fraser, Matt
11940 - Fratangelo, Michael
8492 - Frattin, Matt
8446 - Fredheim, Kris
9388 - Friberg, Max
10538 - Frick, Lukas
11733 - Friedrich, Marko
11941 - Friend, Jacob
6484 - Friesen, Alex
8775 - Friesen, Dustin
10336 - Friman, Niklas
286 - Fritsche, Dan
8712 - Fritsche, John
7925 - Frk, Martin
9357 - Froberg, Linus
5800 - Froese, Byron
5746 - Froidevaux, Etienne
4436 - Frolik, Michael
2730 - Frolo, Tomas
11531 - Frühauf, Peter
9176 - Fucale, Zachary
10634 - Fuchs, Jason
9821 - Fuhr, Tyler
1424 - Fukufuji, Yutaka
3295 - Furchner, Sebastian
5734 - Furrer, Philippe
3297 - Furtak, Danyo
9830 - Fushimi, Brandon
5894 - Fyten, Austin
289 - Gaborik, Marian
7804 - Gabriel, Kurtis
10569 - Gabrielle, Jesse
11942 - Gadjovich, Jonah
11384 - Gadoury, Philippe
11943 - Gagné, Benjamin
11060 - Gagne, Gabriel
7081 - Gagne, Kevin
290 - Gagne, Simon
2091 - Gagner, Sam
5238 - Gagnon, Aaron
11945 - Gagnon, Kody
8151 - Gagnon, Mathieu
9831 - Gagnon, Ryan
5914 - Gajovský, Nikola
9578 - Galbraith, Patrick
7832 - Galchenyuk, Alex
11392 - Gale, A.J.
5264 - Galiardi, T.J.
7090 - Galiev, Stanislav
11013 - Galipeau, Olivier
6248 - Gallagher, Brendan
8771 - Gallant, Brett
2749 - Galvas, Lukas
10971 - Gamelin, Frédéric
9949 - Ganly, Tyler
8783 - Garbutt, Ryan
9835 - Garcia, C.J.
8737 - Gardiner, Jake
9754 - Gardiner, Reid
11946 - Gardiner, Ryan
5583 - Gardner, Ryan
3304 - Garkusha, Vladmir
11176 - Garland, Conor
9010 - Garlent, Hunter
11947 - Garneau, Olivier
11948 - Garon-Landry, Jacob
5324 - Garrison, Jason
10454 - Gartner, Robin
10760 - Gatenby, Joe
7562 - Gaudet, Brady
9169 - Gaudet, Tyler
9232 - Gaudreau, Frederick
11565 - Gaudreau, Johnny
7717 - Gaunce, Brendan
6480 - Gaunce, Cameron
294 - Gaustad, Paul
7080 - Gauthier, Danick
10456 - Gauthier, Frédérik
9213 - Gauthier, Guillaume
11058 - Gauthier, Julien
9138 - Gauthier, Sébastien
5684 - Gautschi, Marc
10754 - Gawdin, Glenn
3307 - Gawlik, Christoph
11086 - Gay, Connor
7187 - Gazdic, Luke
11365 - Gazley, Dustin
5580 - Geering, Patrick
8812 - Geertsen, Mason
6834 - Gelinas, Eric
8347 - Gelinas, Guillaume
5506 - Genazzi, Joel
712 - Generous, Matt
10694 - Gennaro, Matteo
5706 - Genoni, Leonardo
9027 - Genovese, Cory
1790 - Genoway, Colby
3312 - Genze, Alexander
12375 - Georgiyev, Alexander
5305 - Gerbe, Nathan
5764 - Gerber, Adrian
5735 - Gerber, Beat
298 - Gerber, Martin
4767 - Gerber, Roland
12606 - Gerber, Tom
10953 - Gerhart, Austin
7284 - Gerhat, Frantisek
11949 - Germain, Marc-Antoine
8813 - Gernat, Martin
1184 - Gervais, Bruno
11950 - Getson, Keith
11951 - Gettinger, Tim
1092 - Getzlaf, Ryan
9308 - Gibbons, Brian
31207 - Gibbons, Tyler
11133 - Gibl, Daniel
6813 - Gibson, Christopher
8700 - Gibson, John
8061 - Gibson, Stephen
3315 - Gienbaev, Pavel
11044 - Gignac, Brandon
11052 - Gignac, William
6764 - Gilbert, David
1395 - Gilbert, Tom
5361 - Giliati, Stefano
11336 - Gill, Riley
12311 - Gill, Sahir
10932 - Gillard, Matt
4437 - Gillies, Colton
1225 - Gillies, Trevor
10629 - Gilligan, Jeffrey
11952 - Gilmour, Jake
31215 - Gilroy, Jacob
388 - Gilroy, Matt
10069 - Gingras, Anthony
11954 - Gingras, Luke
302 - Gionta, Brian
1883 - Gionta, Stephen
1226 - Giordano, Mark
7881 - Girard, Felix
11955 - Girard, Samuel
1400 - Girardi, Dan
10206 - Girgensons, Zemgus
1227 - Giroux, Alexandre
5296 - Giroux, Claude
9921 - Giugovaz, Michael
2263 - Glass, Tanner
11956 - Gleason, Benjamin
305 - Gleason, Tim
3319 - Glebov, Turgay
12484 - Gleizes, Jean
1391 - Glencross, Curtis
10552 - Glendening, Luke
1913 - Glenn, Ryan
5011 - Glennie, Scott
5572 - Gloor, Kevin
9702 - Glover, Austin
5530 - Gobbi, John
306 - Goc, Marcel
2424 - Goc, Nikolai
3320 - Goc, Sascha
3321 - Godlewski, Jan
7236 - Goepfert, Bobby
10162 - Goers, Barry
11957 - Goetz, Keigan
6134 - Gogol, Curt
3322 - Gogulla, Philip
3323 - Golash, Stepan
2290 - Goligoski, Alex
8418 - Goloubef, Cody
11107 - Golovkovs, Georgs
10955 - Gomes, Calvin
308 - Gomez, Scott
309 - Gonchar, Sergei
6328 - Goodrow, Barclay
12490 - Gora, Patrick
12389 - Gorcik, Sebastian
10491 - Gordon, Andrew
310 - Gordon, Boyd
8941 - Gordon, Coda
11958 - Gordon, Jaydan
1129 - Gorges, Josh
6932 - Gormley, Brandon
9974 - Gosselin, Alexandre
10970 - Gosselin, Gabriel
5482 - Gossweiler, Manuel
11785 - Gostisbehere, Shayne
12500 - Gotovets, Kirill
8840 - Goulbourne, Tyrell
11029 - Goulet, Alexandre
12322 - Goumas, Kevin
7171 - Gourde, Yanni
7672 - Gow, Reid
5111 - Graaskamp, Charley
2201 - Grabner, Michael
1385 - Grabovski, Mikhail
2260 - Gragnani, Marc-André
8981 - Graham, Charlie
10860 - Graham, Connor
7783 - Graham, Jesse
9783 - Graham, Ryan
2540 - Granak, Dominik
10391 - Granato, Cammi
8378 - Granberg, Petter
11057 - Grand-Maison, Alexandre
9580 - Granlund, Markus
12592 - Granlund, Mattias
4543 - Granlund, Mikael
3332 - Granström, Jonathan
736 - Grant, Alex
9256 - Grant, Derek
11959 - Grant, Tavin
1335 - Grant, Triston
911 - Grantham, Ryley
6541 - Graovac, Tyler
9471 - Grassi, Daniele
1230 - Gratton, Josh
12324 - Gravel, Kevin
9047 - Graves, Jacob
9194 - Graves, Ryan
3334 - Gray, Angus
31289 - Green, Brandon
317 - Green, Josh
11960 - Green, Luke
11961 - Green, Matthew
1305 - Green, Mike
11962 - Green, Owen
1390 - Greene, Andy
1162 - Greene, Matt
11162 - Greenfield, Matthew
11364 - Greenham, Scott
8388 - Greening, Colin
9318 - Gregoire, Jason
9153 - Grégoire, Jérémy
11963 - Grégoire, Thomas
11964 - Gregor, Noah
614 - Gregorc, Blaz
3338 - Greilinger, Thomas
3339 - Greiss, Thomas
9177 - Grenier, Alexandre
7198 - Gretzky, Wayne
9759 - Grewal, Raymond
7774 - Griffith, Seth
12364 - Griggs, John
9207 - Grigorenko, Mikhail
1472 - Grillfors, Daniel
11787 - Grimaldi, Rocco
11965 - Grman, Mario
7327 - Gröndahl, Ari
3341 - Grönholm, Ossi-Petteri
10775 - Gropp, Ryan
10597 - Grosenick, Troy
3343 - Grossmann, Nicklas
5708 - Grossmann, Robin
12429 - Grossniklaus, Tim
11966 - Groulx, Kevin
6744 - Grubauer, Philipp
2050 - Grumet-Morris, Dov
7377 - Grundel, Anton
12444 - Grundström, Carl
12485 - Gruninger, Tyson
8389 - Gryba, Eric
3348 - Grygiel, Adrian
3349 - Grzelak, Piotr
12453 - Grzelewski, Zach
12476 - Guay, Sacha
5920 - Gudas, Radko
7749 - Gudbranson, Alex
6404 - Gudbranson, Erik
11398 - Gudlevskis, Kristers
9221 - Guénette, Justin
1394 - Guenin, Nate
7476 - Guerra, Samuel
11967 - Guertler, Gabe
10008 - Guévremont, Charles
3352 - Guggisberg, Peter
10710 - Guhle, Brendan
11968 - Guilbault, Samuel
10564 - Guimond, Sacha
10026 - Guindon, Louis-Philip
8660 - Gula, Jiri
2726 - Gulas, Milan
2787 - Gulasi, Michal
1477 - Gunnarsson, Carl
9412 - Gunnarsson, Daniel
12653 - Gunnarsson, Filip
11652 - Guntern, Daniel
12300 - Guptill, Alex
996 - Gustafsson, Anton
9399 - Gustafsson, Johan
12714 - Gustafsson, Sammy
8637 - Gustavsen, Brett
78 - Gustavsson, Jonas
11610 - Guter, Mattias
9816 - Gutierrez, Justin
12625 - Guttig, Anthony
9908 - Guy, Nevin
11286 - Haapala, Henrik
12412 - Haapanen, Markus
7468 - Haas, Gaëtan
5765 - Haas, Lukas
8752 - Haase, Henry
3361 - Haataja, Juha-Pekka
11423 - Habal, Vladislav
12607 - Haberstich, Fabian
8179 - Hache, Justin
6626 - Hackett, Matt
9715 - Hackman, Lenny
737 - Haddad, Joey
9589 - Hafenrichter, Jaroslav
8417 - Hagel, Kyle
11355 - Hagel, Marc
9265 - Hagelin, Carl
2460 - Hager, Patrick
10481 - Hagg, Robert
12315 - Haggerty, Ryan
558 - Haggstrom, Magnus
3366 - Hagos, Yared
329 - Hainsey, Ron
12379 - Hajek, Libor
7425 - Hakanpaa, Jani
3369 - Haken, Jay
11715 - Hakulinen, Anrei
10745 - Halabi, Reid
1426 - Halak, Jaroslav
11765 - Halasz, Tomas
11096 - Halbert, Nathanael
11969 - Halbgewachs, Jayden
4455 - Haley, Micheal
5272 - Halischuk, Matt
332 - Hall, Adam
11970 - Hall, Austin
3371 - Hall, Nicholas
6721 - Hall, Taylor
6567 - Halmo, Mike
12664 - Halmrast, Robin
2630 - Halonen, Antti
11178 - Halverson, Brandon
1641 - Hämäläinen, Ville
1802 - Hambly, Tim
11971 - Hamelin, Brendan
7301 - Hamerlík, Peter
335 - Hamhuis, Dan
4474 - Hamill, Zach
6132 - Hamilton, Curtis
6505 - Hamilton, Dougie
31382 - Hamilton, Eric
6486 - Hamilton, Freddie
8908 - Hamilton, Joel
1963 - Hamilton, Ryan
5976 - Hamilton, Wacey
12373 - Hamm, Brock
10574 - Hammond, Andrew
8946 - Hamonic, Justin
5137 - Hamonic, Travis
11973 - Hancock, Kevin
338 - Handzus, Michal
11974 - Hanley, Jack
340 - Hannan, Scott
11975 - Hannoun, Dante
10351 - Hanowski, Ben
8877 - Hansen, Carter
1791 - Hansen, Jannik
10495 - Hanses, Erik
5656 - Hanson, Christian
12501 - Hanson, Greger
7603 - Hanson, Josh
12712 - Hansson, Niklas
12440 - Hansson, Petter
9587 - Hanuljak, Miroslav
7223 - Hanusch, Steve
2094 - Hanzal, Martin
9519 - Hanzl, Robin
2966 - Hanzlik, Jan
1884 - Harant, Tomas
9178 - Hardie, Austyn
10645 - Harding, Sam
12371 - Hardowa, Connor
2577 - Hardt, Nichlas
11265 - Harjama, Joona
1485 - Harju, Johan
10749 - Harkins, Jansen
11150 - Harlacher, Edson
9669 - Harmsworth, Colby
5797 - Harper, Shane
9000 - Harper, Stephen
9011 - Harpur, Ben
6449 - Harrington, Scott
9107 - Harris, Jacob
11075 - Harris, Jordan
31412 - Harris, Steven
10791 - Harrison, Chase
1232 - Harrison, Jay
8965 - Harrison, Luke
1354 - Harrold, Peter
11976 - Hart, Carter
8866 - Hart, Jayden
9925 - Hartman, Ryan
344 - Hartnell, Scott
10595 - Hartzell, Eric
5791 - Harvey, Myles
11977 - Harvey, Samuel
11160 - Harwell, Chase
840 - Hasani, Adam
3393 - Hashimoto, Eiji
4456 - Haskins, Tyler
12296 - Hathaway, Garnet
5452 - Hattunen, Jarkko
8926 - Hauf, Jared
12523 - Haugen, Lars
10619 - Haula, Erik
7258 - Hauner, Norman
11544 - Havel, Radek
349 - Havlat, Martin
11766 - Havlik, Ladislav
11978 - Hawerchuk, Ben
9659 - Hawryluk, Jayce
9894 - Haydon, Aaron
10598 - Hayes, Eriah
9296 - Hayes, Jimmy
11783 - Hayes, Kevin
7120 - Hazen, Jonathan
7820 - Heard, Mitchell
8942 - Heatherington, Dillon
353 - Heatley, Dany
10083 - Hébert, Nicolas
11065 - Hebig, Cameron
354 - Hecht, Jochen
7259 - Hecquefeuille, Kevin
8782 - Hedden, Mike
7389 - Hedman, Anton
3401 - Hedman, Oscar
2553 - Hedman, Victor
615 - Heed, Tim
5817 - Heemskerk, Thomas
10862 - Heeps, Ryan
9844 - Heffernan, Chad
8631 - Heffley, Colton
11979 - Heid, Nick
12424 - Heikkilä, Miika
12694 - Heikkinen, Arttu
11707 - Heikkinen, Eemeli
3403 - Heikkinen, Ilkka
11614 - Heinerö, Nicklas
3405 - Heino, Henri
11980 - Heinrich, Blake
1343 - Hejda, Jan
1113 - Helbling, Timo
11386 - Heldner, Fabian
9797 - Helewka, Adam
8809 - Helgesen, Kenton
11981 - Helgesen, Tyson
10572 - Helgeson, Seth
12681 - Heljanko, Christian
9367 - Hellberg, Magnus
12346 - Hellebuyck, Connor
12617 - Hellgren, Jens
2222 - Hellstrom, Alexander
2497 - Helm, Darren
11982 - Helvig, Jeremy
363 - Hemsky, Ales
11983 - Henderson, Jordan
2576 - Henderson, Kevin
10902 - Henderson, Mathieu
1875 - Hendricks, Matt
4479 - Hendrikx, Trevor
11012 - Henley, David
6914 - Henley, Samuel
11191 - Henley, Troy
1367 - Hennessy, Josh
3414 - Henriksen, Martin
11142 - Henriksson, Alex
12593 - Henrion, John
6724 - Henrique, Adam
8856 - Henry, Adam
2173 - Hensick, T.J.
12318 - Herbert, Caleb
8341 - Herbst, Liam
10363 - Herburger, Raphael
5997 - Herman, Jakub
11305 - Herpich, Kai
7483 - Herren, Yannick
11984 - Herringer, Michael
9509 - Hertl, Tomas
11985 - Hertzberg, Sonny
11146 - Herzog, Fabrice
1792 - Heshka, Shaun
12611 - Hetta, Henrik
9288 - Hextall, Brett
8966 - Hicketts, Joe
660 - Hickey, Thomas
11986 - Hicks, Connor
12451 - Hidi, Jack
11254 - Hietanen, Valtteri
367 - Higgins, Chris
11987 - Higgins, Tyler
10816 - Highmore, Matthew
11988 - Higson, Schael
4583 - Hill, Adin
6646 - Hill, Jordan
10935 - Hill, Tyler
8625 - Hillding, Joakim
2659 - Hillen, Jack
3424 - Hiller, Jonas
11157 - Hillis, Riley
11989 - Hilsendager, James
11790 - Hilton, Jesse
1865 - Himelfarb, Eric
9996 - Hinds, Marcus
2348 - Hinterstocker, Martin
11235 - Hintz, Roope
11422 - Hirschfeld, Alden
5720 - Hirschi, Steve
3429 - Hirschovits, Kim
11602 - Hischier, Luca
6560 - Hishon, Joey
1473 - Hjalmarsson, Niklas
12635 - Hjelm, Joakim
2082 - Hlinka, Jaroslav
6928 - Hlinka, Michal
11990 - Hobbs, Connor
11403 - Hobbs, Danny
3433 - Hobson, Simon
10051 - Hodge, Kris
5455 - Hodges, Steven
7188 - Hodgman, Justin
6325 - Hodgson, Cody
9854 - Hodgson, Hayden
8184 - Hodhod, Samuel
9253 - Hoeffel, Mike
7972 - Höfflin, Mirko
7084 - Hoffman, Mike
9708 - Hoflin, Wyatt
7472 - Hofmann, Gregory
10475 - Högberg, Marcus
1114 - Hoggan, Jeff
7408 - Högström, Marcus
2401 - Höhenleitner, Christoph
8113 - Holden, Josh
5338 - Holden, Nick
12669 - Holdener, Makai
12792 - Holik, Aleš
8699 - Holik, Petr
6236 - Holland, Patrick
6365 - Holland, Peter
848 - Hollenstein, Denis
5274 - Holloway, Bud
1115 - Hollweg, Ryan
12633 - Holm, Henrik
9379 - Holm, Philip
6184 - Holmberg, Mitch
10904 - Holmes, Michael
3440 - Holmqvist, Johan
11703 - Holmström, Axel
8383 - Holmstrom, Ben
5189 - Holøs, Jonas
3441 - Holowka, Stephen
11991 - Holowko, Nick
